xz_axis1_nm,xz_axis2_nm,|E/E0|^2
-1.312500000000000000e+02,-1.312500000000000000e+02,8.533771466241337755e-01
-1.296093750000000000e+02,-1.312500000000000000e+02,8.561497461703850842e-01
-1.279687500000000000e+02,-1.312500000000000000e+02,8.589698836322229303e-01
-1.263281250000000000e+02,-1.312500000000000000e+02,8.618349444568855766e-01
-1.246875000000000000e+02,-1.312500000000000000e+02,8.647421114606103076e-01
-1.230468750000000000e+02,-1.312500000000000000e+02,8.676883593684510121e-01
-1.214062500000000000e+02,-1.312500000000000000e+02,8.706704498168865713e-01
-1.197656250000000000e+02,-1.312500000000000000e+02,8.736849269018706066e-01
-1.181250000000000000e+02,-1.312500000000000000e+02,8.767281133609807764e-01
-1.164843750000000000e+02,-1.312500000000000000e+02,8.797961074842183260e-01
-1.148437500000000000e+02,-1.312500000000000000e+02,8.828847808538159425e-01
-1.132031250000000000e+02,-1.312500000000000000e+02,8.859897770189593125e-01
-1.115625000000000000e+02,-1.312500000000000000e+02,8.891065112165157380e-01
-1.099218750000000000e+02,-1.312500000000000000e+02,8.922301712536352403e-01
-1.082812500000000000e+02,-1.312500000000000000e+02,8.953557196722123912e-01
-1.066406250000000000e+02,-1.312500000000000000e+02,8.984778973186063888e-01
-1.050000000000000000e+02,-1.312500000000000000e+02,9.015912284445133373e-01
-1.033593750000000000e+02,-1.312500000000000000e+02,9.046900274662916797e-01
-1.017187500000000000e+02,-1.312500000000000000e+02,9.077684075101852823e-01
-1.000781250000000000e+02,-1.312500000000000000e+02,9.108202908695746114e-01
-9.843750000000000000e+01,-1.312500000000000000e+02,9.138394214973944996e-01
-9.679687500000000000e+01,-1.312500000000000000e+02,9.168193796519920058e-01
-9.515625000000000000e+01,-1.312500000000000000e+02,9.197535988077301106e-01
-9.351562500000000000e+01,-1.312500000000000000e+02,9.226353849323866152e-01
-9.187500000000000000e+01,-1.312500000000000000e+02,9.254579382215929462e-01
-9.023437500000000000e+01,-1.312500000000000000e+02,9.282143773660805897e-01
-8.859375000000000000e+01,-1.312500000000000000e+02,9.308977664100853699e-01
-8.695312500000000000e+01,-1.312500000000000000e+02,9.335011442388293501e-01
-8.531250000000000000e+01,-1.312500000000000000e+02,9.360175567093574900e-01
-8.367187500000000000e+01,-1.312500000000000000e+02,9.384400914120978321e-01
-8.203125000000000000e+01,-1.312500000000000000e+02,9.407619150203118119e-01
-8.039062500000000000e+01,-1.312500000000000000e+02,9.429763131510253693e-01
-7.875000000000000000e+01,-1.312500000000000000e+02,9.450767326243354471e-01
-7.710937500000000000e+01,-1.312500000000000000e+02,9.470568259680999246e-01
-7.546875000000000000e+01,-1.312500000000000000e+02,9.489104979723550493e-01
