xz_axis1_nm,xz_axis2_nm,|E/E0|^2
-1.312500000000000000e+02,-1.312500000000000000e+02,4.364433711700865803e-01
-1.296093750000000000e+02,-1.312500000000000000e+02,4.310800542129429869e-01
-1.279687500000000000e+02,-1.312500000000000000e+02,4.258156961219123349e-01
-1.263281250000000000e+02,-1.312500000000000000e+02,4.206519955978051950e-01
-1.246875000000000000e+02,-1.312500000000000000e+02,4.155905336483394774e-01
-1.230468750000000000e+02,-1.312500000000000000e+02,4.106327660116996792e-01
-1.214062500000000000e+02,-1.312500000000000000e+02,4.057800155886845395e-01
-1.197656250000000000e+02,-1.312500000000000000e+02,4.010334649282631947e-01
-1.181250000000000000e+02,-1.312500000000000000e+02,3.963941488157974868e-01
-1.164843750000000000e+02,-1.312500000000000000e+02,3.918629470176266949e-01
-1.148437500000000000e+02,-1.312500000000000000e+02,3.874405772402066406e-01
-1.132031250000000000e+02,-1.312500000000000000e+02,3.831275883664319037e-01
-1.115625000000000000e+02,-1.312500000000000000e+02,3.789243540360525131e-01
-1.099218750000000000e+02,-1.312500000000000000e+02,3.748310666412943415e-01
-1.082812500000000000e+02,-1.312500000000000000e+02,3.708477318126164879e-01
-1.066406250000000000e+02,-1.312500000000000000e+02,3.669741634731176205e-01
-1.050000000000000000e+02,-1.312500000000000000e+02,3.632099795431651401e-01
-1.033593750000000000e+02,-1.312500000000000000e+02,3.595545983793864142e-01
-1.017187500000000000e+02,-1.312500000000000000e+02,3.560072360340414965e-01
-1.000781250000000000e+02,-1.312500000000000000e+02,3.525669044219209569e-01
-9.843750000000000000e+01,-1.312500000000000000e+02,3.492324104821482589e-01
-9.679687500000000000e+01,-1.312500000000000000e+02,3.460023564214685932e-01
-9.515625000000000000e+01,-1.312500000000000000e+02,3.428751411237032642e-01
-9.351562500000000000e+01,-1.312500000000000000e+02,3.398489628068551704e-01
-9.187500000000000000e+01,-1.312500000000000000e+02,3.369218230047918983e-01
-9.023437500000000000e+01,-1.312500000000000000e+02,3.340915319443963916e-01
-8.859375000000000000e+01,-1.312500000000000000e+02,3.313557153814295497e-01
-8.695312500000000000e+01,-1.312500000000000000e+02,3.287118229490409438e-01
-8.531250000000000000e+01,-1.312500000000000000e+02,3.261571380618099036e-01
-8.367187500000000000e+01,-1.312500000000000000e+02,3.236887894053691594e-01
-8.203125000000000000e+01,-1.312500000000000000e+02,3.213037640270190454e-01
-8.039062500000000000e+01,-1.312500000000000000e+02,3.189989220263168002e-01
-7.875000000000000000e+01,-1.312500000000000000e+02,3.167710128264794589e-01
-7.710937500000000000e+01,-1.312500000000000000e+02,3.146166929876286211e-01
-7.546875000000000000e+01,-1.312500000000000000e+02,3.125325455016208509e-01
-7.382812500000000000e+01,-1.312500000000000000e+02,3.105151004855790098e-01
-7.218750000000000000e+01,-1.312500000000000000e+02,3.085608571675484968e-01
-7.054687500000000000e+01,-1.312500000000000000e+02,3.066663070331978602e-01
-6.890625000000000000e+01,-1.312500000000000000e+02,3.048279579775293180e-01
-6.726562500000000000e+01,-1.312500000000000000e+02,3.030423592805392419e-01
-6.562500000000000000e+01,-1.312500000000000000e+02,3.013061272010970071e-01
-6.398437500000000000e+01,-1.312500000000000000e+02,2.996159709594934939e-01
-6.234375000000000000e+01,-1.312500000000000000e+02,2.979687188566573774e-01
-6.070312500000000000e+01,-1.312500000000000000e+02,2.963613442574739021e-01
-5.906250000000000000e+01,-1.312500000000000000e+02,2.947909911475618538e-01
-5.742187500000000000e+01,-1.312500000000000000e+02,2.932549989578357441e-01
-5.578125000000000000e+01,-1.312500000000000000e+02,2.917509263397332631e-01
-5.414062500000000000e+01,-1.312500000000000000e+02,2.902765735667324210e-01
-5.250000000000000000e+01,-1.312500000000000000e+02,2.888300032351607816e-01
-5.085937500000000000e+01,-1.312500000000000000e+02,2.874095589398084627e-01
-4.921875000000000000e+01,-1.312500000000000000e+02,2.860138816078726109e-01
-4.757812500000000000e+01,-1.312500000000000000e+02,2.846419231885468637e-01
-4.593750000000000000e+01,-1.312500000000000000e+02,2.832929574153901231e-01
-4.429687500000000000e+01,-1.312500000000000000e+02,2.819665873844356963e-01
-4.265625000000000000e+01,-1.312500000000000000e+02,2.806627497228945667e-01
-4.101562500000000000e+01,-1.312500000000000000e+02,2.793817151609580551e-01
-3.937500000000000000e+01,-1.312500000000000000e+02,2.781240853623669906e-01
-3.773437500000000000e+01,-1.312500000000000000e+02,2.768907859175311903e-01
-3.609375000000000000e+01,-1.312500000000000000e+02,2.756830554554489665e-01
-3.445312500000000000e+01,-1.312500000000000000e+02,2.745024308867165530e-01
-3.281250000000000000e+01,-1.312500000000000000e+02,2.733507288486000664e-01
-3.117187500000000000e+01,-1.312500000000000000e+02,2.722300234834886812e-01
-2.953125000000000000e+01,-1.312500000000000000e+02,2.711426207428966895e-01
-2.789062500000000000e+01,-1.312500000000000000e+02,2.700910294693923408e-01
-2.625000000000000000e+01,-1.312500000000000000e+02,2.690779295671494875e-01
-2.460937500000000000e+01,-1.312500000000000000e+02,2.681061376270083008e-01
-2.296875000000000000e+01,-1.312500000000000000e+02,2.671785704227773728e-01
-2.132812500000000000e+01,-1.312500000000000000e+02,2.662982067408142250e-01
-1.968750000000000000e+01,-1.312500000000000000e+02,2.654680480436292234e-01
-1.804687500000000000e+01,-1.312500000000000000e+02,2.646910784993216637e-01
-1.640625000000000000e+01,-1.312500000000000000e+02,2.639702249312914084e-01
-1.476562500000000000e+01,-1.312500000000000000e+02,2.633083172561466734e-01
-1.312500000000000000e+01,-1.312500000000000000e+02,2.627080499815710457e-01
-1.148437500000000000e+01,-1.312500000000000000e+02,2.621719453297866598e-01
-9.843750000000000000e+00,-1.312500000000000000e+02,2.617023185361158077e-01
-8.203125000000000000e+00,-1.312500000000000000e+02,2.613012458460616805e-01
-6.562500000000000000e+00,-1.312500000000000000e+02,2.609705356986871672e-01
-4.921875000000000000e+00,-1.312500000000000000e+02,2.607117035393920479e-01
-3.281250000000000000e+00,-1.312500000000000000e+02,2.605259506522462631e-01
-1.640625000000000000e+00,-1.312500000000000000e+02,2.604141473417281305e-01
0.000000000000000000e+00,-1.312500000000000000e+02,2.603769884943981650e-01
1.640625000000000000e+00,-1.312500000000000000e+02,2.604141473417281305e-01
3.281250000000000000e+00,-1.312500000000000000e+02,2.605259506522462631e-01
4.921875000000000000e+00,-1.312500000000000000e+02,2.607117035393920479e-01
6.562500000000000000e+00,-1.312500000000000000e+02,2.609705356986871672e-01
8.203125000000000000e+00,-1.312500000000000000e+02,2.613012458460616805e-01
9.843750000000000000e+00,-1.312500000000000000e+02,2.617023185361158077e-01
1.148437500000000000e+01,-1.312500000000000000e+02,2.621719453297866598e-01
1.312500000000000000e+01,-1.312500000000000000e+02,2.627080499815710457e-01
1.476562500000000000e+01,-1.312500000000000000e+02,2.633083172561466734e-01
1.640625000000000000e+01,-1.312500000000000000e+02,2.639702249312914084e-01
1.804687500000000000e+01,-1.312500000000000000e+02,2.646910784993216637e-01
1.968750000000000000e+01,-1.312500000000000000e+02,2.654680480436292234e-01
2.132812500000000000e+01,-1.312500000000000000e+02,2.662982067408142250e-01
