xy_axis1_nm,xy_axis2_nm,|H/H0|^2
-1.312500000000000000e+02,-1.312500000000000000e+02,1.063611335967434179e+00
-1.296093750000000000e+02,-1.312500000000000000e+02,1.070228476925657368e+00
-1.279687500000000000e+02,-1.312500000000000000e+02,1.077043542918594943e+00
-1.263281250000000000e+02,-1.312500000000000000e+02,1.084060934736327031e+00
-1.246875000000000000e+02,-1.312500000000000000e+02,1.091285065316615732e+00
-1.230468750000000000e+02,-1.312500000000000000e+02,1.098720348719183892e+00
-1.214062500000000000e+02,-1.312500000000000000e+02,1.106371187940433876e+00
-1.197656250000000000e+02,-1.312500000000000000e+02,1.114241961497974609e+00
-1.181250000000000000e+02,-1.312500000000000000e+02,1.122337008713632178e+00
-1.164843750000000000e+02,-1.312500000000000000e+02,1.130660613623444721e+00
-1.148437500000000000e+02,-1.312500000000000000e+02,1.139216987443558038e+00
-1.132031250000000000e+02,-1.312500000000000000e+02,1.148010249522082749e+00
-1.115625000000000000e+02,-1.312500000000000000e+02,1.157044406708903406e+00
-1.099218750000000000e+02,-1.312500000000000000e+02,1.166323331078282566e+00
-1.082812500000000000e+02,-1.312500000000000000e+02,1.175850735942971959e+00
-1.066406250000000000e+02,-1.312500000000000000e+02,1.185630150103563318e+00
-1.050000000000000000e+02,-1.312500000000000000e+02,1.195664890283069992e+00
-1.033593750000000000e+02,-1.312500000000000000e+02,1.205958031704427391e+00
-1.017187500000000000e+02,-1.312500000000000000e+02,1.216512376777766802e+00
-1.000781250000000000e+02,-1.312500000000000000e+02,1.227330421875169497e+00
-9.843750000000000000e+01,-1.312500000000000000e+02,1.238414322183214233e+00
-9.679687500000000000e+01,-1.312500000000000000e+02,1.249765854638152263e+00
-9.515625000000000000e+01,-1.312500000000000000e+02,1.261386378965048127e+00
-9.351562500000000000e+01,-1.312500000000000000e+02,1.273276796860872695e+00
-9.187500000000000000e+01,-1.312500000000000000e+02,1.285437509382367560e+00
-9.023437500000000000e+01,-1.312500000000000000e+02,1.297868372622613897e+00
-8.859375000000000000e+01,-1.312500000000000000e+02,1.310568651785615435e+00
-8.695312500000000000e+01,-1.312500000000000000e+02,1.323536973796021865e+00
-8.531250000000000000e+01,-1.312500000000000000e+02,1.336771278611072145e+00
-8.367187500000000000e+01,-1.312500000000000000e+02,1.350268769434207705e+00
-8.203125000000000000e+01,-1.312500000000000000e+02,1.364025862064161654e+00
-8.039062500000000000e+01,-1.312500000000000000e+02,1.378038133649727603e+00
-7.875000000000000000e+01,-1.312500000000000000e+02,1.392300271158537717e+00
-7.710937500000000000e+01,-1.312500000000000000e+02,1.406806019907728578e+00
-7.546875000000000000e+01,-1.312500000000000000e+02,1.421548132545017662e+00
-7.382812500000000000e+01,-1.312500000000000000e+02,1.436518318910009029e+00
-7.218750000000000000e+01,-1.312500000000000000e+02,1.451707197246981051e+00
-7.054687500000000000e+01,-1.312500000000000000e+02,1.467104247281292073e+00
-6.890625000000000000e+01,-1.312500000000000000e+02,1.482697765711354698e+00
-6.726562500000000000e+01,-1.312500000000000000e+02,1.498474824705944286e+00
-6.562500000000000000e+01,-1.312500000000000000e+02,1.514421234031616326e+00
-6.398437500000000000e+01,-1.312500000000000000e+02,1.530521507466366726e+00
-6.234375000000000000e+01,-1.312500000000000000e+02,1.546758834182258457e+00
-6.070312500000000000e+01,-1.312500000000000000e+02,1.563115055800606612e+00
-5.906250000000000000e+01,-1.312500000000000000e+02,1.579570649837332086e+00
-5.742187500000000000e+01,-1.312500000000000000e+02,1.596104720262181864e+00
-5.578125000000000000e+01,-1.312500000000000000e+02,1.612694995892559380e+00
-5.414062500000000000e+01,-1.312500000000000000e+02,1.629317837329631091e+00
-5.250000000000000000e+01,-1.312500000000000000e+02,1.645948253120166793e+00
-5.085937500000000000e+01,-1.312500000000000000e+02,1.662559925791396331e+00
-4.921875000000000000e+01,-1.312500000000000000e+02,1.679125248356964972e+00
-4.757812500000000000e+01,-1.312500000000000000e+02,1.695615371829643614e+00
-4.593750000000000000e+01,-1.312500000000000000e+02,1.712000264199885269e+00
-4.429687500000000000e+01,-1.312500000000000000e+02,1.728248781248823196e+00
-4.265625000000000000e+01,-1.312500000000000000e+02,1.744328749459661765e+00
-4.101562500000000000e+01,-1.312500000000000000e+02,1.760207061173231669e+00
-3.937500000000000000e+01,-1.312500000000000000e+02,1.775849782002305366e+00
-3.773437500000000000e+01,-1.312500000000000000e+02,1.791222270376269687e+00
-3.609375000000000000e+01,-1.312500000000000000e+02,1.806289308934338367e+00
-3.445312500000000000e+01,-1.312500000000000000e+02,1.821015247323504616e+00
-3.281250000000000000e+01,-1.312500000000000000e+02,1.835364155788995477e+00
-3.117187500000000000e+01,-1.312500000000000000e+02,1.849299988772725722e+00
-2.953125000000000000e+01,-1.312500000000000000e+02,1.862786757561917472e+00
-2.789062500000000000e+01,-1.312500000000000000e+02,1.875788710858914854e+00
-2.625000000000000000e+01,-1.312500000000000000e+02,1.888270521977436056e+00
-2.460937500000000000e+01,-1.312500000000000000e+02,1.900197481213824036e+00
-2.296875000000000000e+01,-1.312500000000000000e+02,1.911535691797646042e+00
-2.132812500000000000e+01,-1.312500000000000000e+02,1.922252267697929895e+00
-1.968750000000000000e+01,-1.312500000000000000e+02,1.932315531452834412e+00
-1.804687500000000000e+01,-1.312500000000000000e+02,1.941695210104894764e+00
-1.640625000000000000e+01,-1.312500000000000000e+02,1.950362627263984683e+00
-1.476562500000000000e+01,-1.312500000000000000e+02,1.958290889288475611e+00
-1.312500000000000000e+01,-1.312500000000000000e+02,1.965455063573498862e+00
-1.148437500000000000e+01,-1.312500000000000000e+02,1.971832346965484817e+00
-9.843750000000000000e+00,-1.312500000000000000e+02,1.977402222384510688e+00
-8.203125000000000000e+00,-1.312500000000000000e+02,1.982146601830992561e+00
-6.562500000000000000e+00,-1.312500000000000000e+02,1.986049954079817326e+00
-4.921875000000000000e+00,-1.312500000000000000e+02,1.989099415521720093e+00
-3.281250000000000000e+00,-1.312500000000000000e+02,1.991284882796469535e+00
-1.640625000000000000e+00,-1.312500000000000000e+02,1.992599086072195380e+00
0.000000000000000000e+00,-1.312500000000000000e+02,1.993037642056329606e+00
1.640625000000000000e+00,-1.312500000000000000e+02,1.992599086072194936e+00
3.281250000000000000e+00,-1.312500000000000000e+02,1.991284882796469535e+00
4.921875000000000000e+00,-1.312500000000000000e+02,1.989099415521720093e+00
6.562500000000000000e+00,-1.312500000000000000e+02,1.986049954079817992e+00
8.203125000000000000e+00,-1.312500000000000000e+02,1.982146601830992561e+00
