xy_axis1_nm,xy_axis2_nm,|H/H0|^2
-1.312500000000000000e+02,-1.312500000000000000e+02,8.847970703900970291e-01
-1.296093750000000000e+02,-1.312500000000000000e+02,8.792375019660210178e-01
-1.279687500000000000e+02,-1.312500000000000000e+02,8.737603152938425710e-01
-1.263281250000000000e+02,-1.312500000000000000e+02,8.683707134200143729e-01
-1.246875000000000000e+02,-1.312500000000000000e+02,8.630740025483580879e-01
-1.230468750000000000e+02,-1.312500000000000000e+02,8.578755896628817990e-01
-1.214062500000000000e+02,-1.312500000000000000e+02,8.527809794768184126e-01
-1.197656250000000000e+02,-1.312500000000000000e+02,8.477957706393335346e-01
-1.181250000000000000e+02,-1.312500000000000000e+02,8.429256511276816966e-01
-1.164843750000000000e+02,-1.312500000000000000e+02,8.381763927491086008e-01
-1.148437500000000000e+02,-1.312500000000000000e+02,8.335538446735144547e-01
-1.132031250000000000e+02,-1.312500000000000000e+02,8.290639259149618079e-01
-1.115625000000000000e+02,-1.312500000000000000e+02,8.247126166775373690e-01
-1.099218750000000000e+02,-1.312500000000000000e+02,8.205059484790643287e-01
-1.082812500000000000e+02,-1.312500000000000000e+02,8.164499929646918952e-01
-1.066406250000000000e+02,-1.312500000000000000e+02,8.125508493217277195e-01
-1.050000000000000000e+02,-1.312500000000000000e+02,8.088146302072238836e-01
-1.033593750000000000e+02,-1.312500000000000000e+02,8.052474461010264983e-01
-1.017187500000000000e+02,-1.312500000000000000e+02,8.018553879993446376e-01
-1.000781250000000000e+02,-1.312500000000000000e+02,7.986445083675537404e-01
-9.843750000000000000e+01,-1.312500000000000000e+02,7.956208002761321341e-01
-9.679687500000000000e+01,-1.312500000000000000e+02,7.927901746504532055e-01
-9.515625000000000000e+01,-1.312500000000000000e+02,7.901584355738296983e-01
-9.351562500000000000e+01,-1.312500000000000000e+02,7.877312535939210436e-01
-9.187500000000000000e+01,-1.312500000000000000e+02,7.855141369954934394e-01
-9.023437500000000000e+01,-1.312500000000000000e+02,7.835124010177971776e-01
-8.859375000000000000e+01,-1.312500000000000000e+02,7.817311350125926150e-01
-8.695312500000000000e+01,-1.312500000000000000e+02,7.801751675592827340e-01
-8.531250000000000000e+01,-1.312500000000000000e+02,7.788490295768065730e-01
-8.367187500000000000e+01,-1.312500000000000000e+02,7.777569154979894206e-01
-8.203125000000000000e+01,-1.312500000000000000e+02,7.769026426009544295e-01
-8.039062500000000000e+01,-1.312500000000000000e+02,7.762896086240267390e-01
-7.875000000000000000e+01,-1.312500000000000000e+02,7.759207478251737289e-01
-7.710937500000000000e+01,-1.312500000000000000e+02,7.757984856843616051e-01
-7.546875000000000000e+01,-1.312500000000000000e+02,7.759246924870369932e-01
-7.382812500000000000e+01,-1.312500000000000000e+02,7.763006360689883589e-01
-7.218750000000000000e+01,-1.312500000000000000e+02,7.769269340467596097e-01
-7.054687500000000000e+01,-1.312500000000000000e+02,7.778035059030923293e-01
-6.890625000000000000e+01,-1.312500000000000000e+02,7.789295253429928678e-01
-6.726562500000000000e+01,-1.312500000000000000e+02,7.803033733823209195e-01
-6.562500000000000000e+01,-1.312500000000000000e+02,7.819225926764465928e-01
-6.398437500000000000e+01,-1.312500000000000000e+02,7.837838436406749931e-01
-6.234375000000000000e+01,-1.312500000000000000e+02,7.858828629557794709e-01
-6.070312500000000000e+01,-1.312500000000000000e+02,7.882144250900247062e-01
-5.906250000000000000e+01,-1.312500000000000000e+02,7.907723075023525006e-01
-5.742187500000000000e+01,-1.312500000000000000e+02,7.935492602186542399e-01
-5.578125000000000000e+01,-1.312500000000000000e+02,7.965369804930415576e-01
-5.414062500000000000e+01,-1.312500000000000000e+02,7.997260932773671005e-01
-5.250000000000000000e+01,-1.312500000000000000e+02,8.031061382236899249e-01
-5.085937500000000000e+01,-1.312500000000000000e+02,8.066655639346478335e-01
-4.921875000000000000e+01,-1.312500000000000000e+02,8.103917301545812135e-01
-4.757812500000000000e+01,-1.312500000000000000e+02,8.142709185587704290e-01
-4.593750000000000000e+01,-1.312500000000000000e+02,8.182883527483230113e-01
-4.429687500000000000e+01,-1.312500000000000000e+02,8.224282279935137829e-01
-4.265625000000000000e+01,-1.312500000000000000e+02,8.266737511882623624e-01
-4.101562500000000000e+01,-1.312500000000000000e+02,8.310071913828853685e-01
-3.937500000000000000e+01,-1.312500000000000000e+02,8.354099411515547580e-01
-3.773437500000000000e+01,-1.312500000000000000e+02,8.398625889256378096e-01
-3.609375000000000000e+01,-1.312500000000000000e+02,8.443450022854271930e-01
-3.445312500000000000e+01,-1.312500000000000000e+02,8.488364220521489312e-01
-3.281250000000000000e+01,-1.312500000000000000e+02,8.533155668615106659e-01
-3.117187500000000000e+01,-1.312500000000000000e+02,8.577607477318913709e-01
-2.953125000000000000e+01,-1.312500000000000000e+02,8.621499919672148682e-01
-2.789062500000000000e+01,-1.312500000000000000e+02,8.664611755599909149e-01
-2.625000000000000000e+01,-1.312500000000000000e+02,8.706721630871984141e-01
-2.460937500000000000e+01,-1.312500000000000000e+02,8.747609539246221644e-01
-2.296875000000000000e+01,-1.312500000000000000e+02,8.787058334476171018e-01
-2.132812500000000000e+01,-1.312500000000000000e+02,8.824855277422476441e-01
-1.968750000000000000e+01,-1.312500000000000000e+02,8.860793602240832900e-01
-1.804687500000000000e+01,-1.312500000000000000e+02,8.894674084565353800e-01
-1.640625000000000000e+01,-1.312500000000000000e+02,8.926306593798567501e-01
-1.476562500000000000e+01,-1.312500000000000000e+02,8.955511611089790325e-01
-1.312500000000000000e+01,-1.312500000000000000e+02,8.982121694356217656e-01
-1.148437500000000000e+01,-1.312500000000000000e+02,9.005982871796913702e-01
-9.843750000000000000e+00,-1.312500000000000000e+02,9.026955945778285528e-01
-8.203125000000000000e+00,-1.312500000000000000e+02,9.044917689737276278e-01
-6.562500000000000000e+00,-1.312500000000000000e+02,9.059761921848519250e-01
-4.921875000000000000e+00,-1.312500000000000000e+02,9.071400440622445771e-01
-3.281250000000000000e+00,-1.312500000000000000e+02,9.079763809320517964e-01
-1.640625000000000000e+00,-1.312500000000000000e+02,9.084801978061578520e-01
0.000000000000000000e+00,-1.312500000000000000e+02,9.086484734712381162e-01
1.640625000000000000e+00,-1.312500000000000000e+02,9.084801978061576300e-01
3.281250000000000000e+00,-1.312500000000000000e+02,9.079763809320517964e-01
4.921875000000000000e+00,-1.312500000000000000e+02,9.071400440622444661e-01
6.562500000000000000e+00,-1.312500000000000000e+02,9.059761921848519250e-01
8.203125000000000000e+00,-1.312500000000000000e+02,9.044917689737276278e-01
9.843750000000000000e+00,-1.312500000000000000e+02,9.026955945778285528e-01
1.148437500000000000e+01,-1.312500000000000000e+02,9.005982871796913702e-01
1.312500000000000000e+01,-1.312500000000000000e+02,8.982121694356217656e-01
1.476562500000000000e+01,-1.312500000000000000e+02,8.955511611089789215e-01
1.640625000000000000e+01,-1.312500000000000000e+02,8.926306593798569722e-01
1.804687500000000000e+01,-1.312500000000000000e+02,8.894674084565354910e-01
1.968750000000000000e+01,-1.312500000000000000e+02,8.860793602240832900e-01
2.132812500000000000e+01,-1.312500000000000000e+02,8.824855277422474220e-01
2.296875000000000000e+01,-1.312500000000000000e+02,8.787058334476172128e-01
2.460937500000000000e+01,-1.312500000000000000e+02,8.747609539246220534e-01
2.625000000000000000e+01,-1.312500000000000000e+02,8.706721630871985251e-01
2.789062500000000000e+01,-1.312500000000000000e+02,8.664611755599909149e-01
2.953125000000000000e+01,-1.312500000000000000e+02,8.621499919672148682e-01
3.117187500000000000e+01,-1.312500000000000000e+02,8.577607477318913709e-01
3.281250000000000000e+01,-1.312500000000000000e+02,8.533155668615106659e-01
3.445312500000000000e+01,-1.312500000000000000e+02,8.488364220521490422e-01
3.609375000000000000e+01,-1.312500000000000000e+02,8.443450022854273040e-01
3.773437500000000000e+01,-1.312500000000000000e+02,8.398625889256375876e-01
3.937500000000000000e+01,-1.312500000000000000e+02,8.354099411515547580e-01
4.101562500000000000e+01,-1.312500000000000000e+02,8.310071913828852574e-01
4.265625000000000000e+01,-1.312500000000000000e+02,8.266737511882622513e-01
4.429687500000000000e+01,-1.312500000000000000e+02,8.224282279935140050e-01
4.593750000000000000e+01,-1.312500000000000000e+02,8.182883527483229003e-01
4.757812500000000000e+01,-1.312500000000000000e+02,8.142709185587706511e-01
4.921875000000000000e+01,-1.312500000000000000e+02,8.103917301545813245e-01
5.085937500000000000e+01,-1.312500000000000000e+02,8.066655639346480555e-01
5.250000000000000000e+01,-1.312500000000000000e+02,8.031061382236901469e-01
5.414062500000000000e+01,-1.312500000000000000e+02,7.997260932773668785e-01
5.578125000000000000e+01,-1.312500000000000000e+02,7.965369804930417796e-01
5.742187500000000000e+01,-1.312500000000000000e+02,7.935492602186542399e-01
5.906250000000000000e+01,-1.312500000000000000e+02,7.907723075023525006e-01
6.070312500000000000e+01,-1.312500000000000000e+02,7.882144250900251503e-01
6.234375000000000000e+01,-1.312500000000000000e+02,7.858828629557792489e-01
6.398437500000000000e+01,-1.312500000000000000e+02,7.837838436406749931e-01
6.562500000000000000e+01,-1.312500000000000000e+02,7.819225926764465928e-01
6.726562500000000000e+01,-1.312500000000000000e+02,7.803033733823208085e-01
6.890625000000000000e+01,-1.312500000000000000e+02,7.789295253429928678e-01
7.054687500000000000e+01,-1.312500000000000000e+02,7.778035059030925513e-01
7.218750000000000000e+01,-1.312500000000000000e+02,7.769269340467597207e-01
7.382812500000000000e+01,-1.312500000000000000e+02,7.763006360689885810e-01
7.546875000000000000e+01,-1.312500000000000000e+02,7.759246924870372153e-01
7.710937500000000000e+01,-1.312500000000000000e+02,7.757984856843617161e-01
7.875000000000000000e+01,-1.312500000000000000e+02,7.759207478251735068e-01
8.039062500000000000e+01,-1.312500000000000000e+02,7.762896086240267390e-01
8.203125000000000000e+01,-1.312500000000000000e+02,7.769026426009544295e-01
8.367187500000000000e+01,-1.312500000000000000e+02,7.777569154979896426e-01
8.531250000000000000e+01,-1.312500000000000000e+02,7.788490295768065730e-01
8.695312500000000000e+01,-1.312500000000000000e+02,7.801751675592827340e-01
8.859375000000000000e+01,-1.312500000000000000e+02,7.817311350125929481e-01
9.023437500000000000e+01,-1.312500000000000000e+02,7.835124010177971776e-01
9.187500000000000000e+01,-1.312500000000000000e+02,7.855141369954931063e-01
9.351562500000000000e+01,-1.312500000000000000e+02,7.877312535939211546e-01
9.515625000000000000e+01,-1.312500000000000000e+02,7.901584355738296983e-01
9.679687500000000000e+01,-1.312500000000000000e+02,7.927901746504534275e-01
9.843750000000000000e+01,-1.312500000000000000e+02,7.956208002761323561e-01
1.000781250000000000e+02,-1.312500000000000000e+02,7.986445083675540735e-01
1.017187500000000000e+02,-1.312500000000000000e+02,8.018553879993448597e-01
1.033593750000000000e+02,-1.312500000000000000e+02,8.052474461010263873e-01
1.050000000000000000e+02,-1.312500000000000000e+02,8.088146302072236615e-01
1.066406250000000000e+02,-1.312500000000000000e+02,8.125508493217279415e-01
1.082812500000000000e+02,-1.312500000000000000e+02,8.164499929646918952e-01
1.099218750000000000e+02,-1.312500000000000000e+02,8.205059484790642177e-01
1.115625000000000000e+02,-1.312500000000000000e+02,8.247126166775373690e-01
1.132031250000000000e+02,-1.312500000000000000e+02,8.290639259149619189e-01
1.148437500000000000e+02,-1.312500000000000000e+02,8.335538446735144547e-01
1.164843750000000000e+02,-1.312500000000000000e+02,8.381763927491083788e-01
1.181250000000000000e+02,-1.312500000000000000e+02,8.429256511276814745e-01
1.197656250000000000e+02,-1.312500000000000000e+02,8.477957706393337567e-01
1.214062500000000000e+02,-1.312500000000000000e+02,8.527809794768184126e-01
1.230468750000000000e+02,-1.312500000000000000e+02,8.578755896628815769e-01
1.246875000000000000e+02,-1.312500000000000000e+02,8.630740025483577549e-01
1.263281250000000000e+02,-1.312500000000000000e+02,8.683707134200141509e-01
1.279687500000000000e+02,-1.312500000000000000e+02,8.737603152938425710e-01
1.296093750000000000e+02,-1.312500000000000000e+02,8.792375019660212399e-01
1.312500000000000000e+02,-1.312500000000000000e+02,8.847970703900973621e-01
-1.312500000000000000e+02,-1.296093750000000000e+02,8.851100600466185186e-01
-1.296093750000000000e+02,-1.296093750000000000e+02,8.796028415151849744e-01
-1.279687500000000000e+02,-1.296093750000000000e+02,8.741826417985852915e-01
-1.263281250000000000e+02,-1.296093750000000000e+02,8.688549228822927128e-01
-1.246875000000000000e+02,-1.296093750000000000e+02,8.636252624868910877e-01
-1.230468750000000000e+02,-1.296093750000000000e+02,8.584993520280341794e-01
-1.214062500000000000e+02,-1.296093750000000000e+02,8.534829938696086860e-01
-1.197656250000000000e+02,-1.296093750000000000e+02,8.485820977943170362e-01
-1.181250000000000000e+02,-1.296093750000000000e+02,8.438026766114687938e-01
-1.164843750000000000e+02,-1.296093750000000000e+02,8.391508408174770395e-01
-1.148437500000000000e+02,-1.296093750000000000e+02,8.346327922204772598e-01
-1.132031250000000000e+02,-1.296093750000000000e+02,8.302548164366509997e-01
-1.115625000000000000e+02,-1.296093750000000000e+02,8.260232741624552455e-01
-1.099218750000000000e+02,-1.296093750000000000e+02,8.219445911239932068e-01
-1.082812500000000000e+02,-1.296093750000000000e+02,8.180252466025020874e-01
-1.066406250000000000e+02,-1.296093750000000000e+02,8.142717604333294945e-01
-1.050000000000000000e+02,-1.296093750000000000e+02,8.106906783751843815e-01
-1.033593750000000000e+02,-1.296093750000000000e+02,8.072885557468134632e-01
-1.017187500000000000e+02,-1.296093750000000000e+02,8.040719392299491286e-01
-1.000781250000000000e+02,-1.296093750000000000e+02,8.010473467404612968e-01
-9.843750000000000000e+01,-1.296093750000000000e+02,7.982212452743449038e-01
-9.679687500000000000e+01,-1.296093750000000000e+02,7.956000266417438960e-01
-9.515625000000000000e+01,-1.296093750000000000e+02,7.931899810107811977e-01
-9.351562500000000000e+01,-1.296093750000000000e+02,7.909972681938252093e-01
-9.187500000000000000e+01,-1.296093750000000000e+02,7.890278866221355214e-01
-9.023437500000000000e+01,-1.296093750000000000e+02,7.872876399708279571e-01
-8.859375000000000000e+01,-1.296093750000000000e+02,7.857821014149826144e-01
-8.695312500000000000e+01,-1.296093750000000000e+02,7.845165755196414903e-01
-8.531250000000000000e+01,-1.296093750000000000e+02,7.834960577916134650e-01
-8.367187500000000000e+01,-1.296093750000000000e+02,7.827251919494755406e-01
-8.203125000000000000e+01,-1.296093750000000000e+02,7.822082250000953474e-01
-8.039062500000000000e+01,-1.296093750000000000e+02,7.819489602453626453e-01
-7.875000000000000000e+01,-1.296093750000000000e+02,7.819507083816301662e-01
-7.710937500000000000e+01,-1.296093750000000000e+02,7.822162368964931112e-01
-7.546875000000000000e+01,-1.296093750000000000e+02,7.827477180128312728e-01
-7.382812500000000000e+01,-1.296093750000000000e+02,7.835466754781839072e-01
-7.218750000000000000e+01,-1.296093750000000000e+02,7.846139305482049409e-01
-7.054687500000000000e+01,-1.296093750000000000e+02,7.859495475655882135e-01
-6.890625000000000000e+01,-1.296093750000000000e+02,7.875527795899223138e-01
-6.726562500000000000e+01,-1.296093750000000000e+02,7.894220145886383655e-01
-6.562500000000000000e+01,-1.296093750000000000e+02,7.915547227537070851e-01
-6.398437500000000000e+01,-1.296093750000000000e+02,7.939474055619868409e-01
-6.234375000000000000e+01,-1.296093750000000000e+02,7.965955472480532595e-01
-6.070312500000000000e+01,-1.296093750000000000e+02,7.994935694055906872e-01
-5.906250000000000000e+01,-1.296093750000000000e+02,8.026347894757253076e-01
-5.742187500000000000e+01,-1.296093750000000000e+02,8.060113839164930738e-01
-5.578125000000000000e+01,-1.296093750000000000e+02,8.096143568754553543e-01
-5.414062500000000000e+01,-1.296093750000000000e+02,8.134335152057257101e-01
-5.250000000000000000e+01,-1.296093750000000000e+02,8.174574506726991485e-01
-5.085937500000000000e+01,-1.296093750000000000e+02,8.216735301931376023e-01
-4.921875000000000000e+01,-1.296093750000000000e+02,8.260678949283575268e-01
-4.757812500000000000e+01,-1.296093750000000000e+02,8.306254690178227484e-01
-4.593750000000000000e+01,-1.296093750000000000e+02,8.353299786872898647e-01
-4.429687500000000000e+01,-1.296093750000000000e+02,8.401639823958302333e-01
-4.265625000000000000e+01,-1.296093750000000000e+02,8.451089125980144612e-01
-4.101562500000000000e+01,-1.296093750000000000e+02,8.501451295909751016e-01
-3.937500000000000000e+01,-1.296093750000000000e+02,8.552519877911760604e-01
-3.773437500000000000e+01,-1.296093750000000000e+02,8.604079146430840819e-01
-3.609375000000000000e+01,-1.296093750000000000e+02,8.655905022027730045e-01
-3.445312500000000000e+01,-1.296093750000000000e+02,8.707766112653197998e-01
-3.281250000000000000e+01,-1.296093750000000000e+02,8.759424877180308489e-01
-3.117187500000000000e+01,-1.296093750000000000e+02,8.810638906046670549e-01
-2.953125000000000000e+01,-1.296093750000000000e+02,8.861162311822591287e-01
-2.789062500000000000e+01,-1.296093750000000000e+02,8.910747220455321749e-01
-2.625000000000000000e+01,-1.296093750000000000e+02,8.959145351885269282e-01
-2.460937500000000000e+01,-1.296093750000000000e+02,9.006109676732161340e-01
-2.296875000000000000e+01,-1.296093750000000000e+02,9.051396133854483494e-01
-2.132812500000000000e+01,-1.296093750000000000e+02,9.094765391842846158e-01
-1.968750000000000000e+01,-1.296093750000000000e+02,9.135984635964258249e-01
-1.804687500000000000e+01,-1.296093750000000000e+02,9.174829360776682874e-01
-1.640625000000000000e+01,-1.296093750000000000e+02,9.211085147624402669e-01
-1.476562500000000000e+01,-1.296093750000000000e+02,9.244549405542293874e-01
-1.312500000000000000e+01,-1.296093750000000000e+02,9.275033053774000003e-01
-1.148437500000000000e+01,-1.296093750000000000e+02,9.302362124169192281e-01
-9.843750000000000000e+00,-1.296093750000000000e+02,9.326379262183401853e-01
-8.203125000000000000e+00,-1.296093750000000000e+02,9.346945106068724751e-01
-6.562500000000000000e+00,-1.296093750000000000e+02,9.363939525107336515e-01
-4.921875000000000000e+00,-1.296093750000000000e+02,9.377262699390729317e-01
-3.281250000000000000e+00,-1.296093750000000000e+02,9.386836025657951943e-01
-1.640625000000000000e+00,-1.296093750000000000e+02,9.392602836041596959e-01
0.000000000000000000e+00,-1.296093750000000000e+02,9.394528919185658467e-01
1.640625000000000000e+00,-1.296093750000000000e+02,9.392602836041596959e-01
3.281250000000000000e+00,-1.296093750000000000e+02,9.386836025657951943e-01
4.921875000000000000e+00,-1.296093750000000000e+02,9.377262699390729317e-01
6.562500000000000000e+00,-1.296093750000000000e+02,9.363939525107334294e-01
8.203125000000000000e+00,-1.296093750000000000e+02,9.346945106068724751e-01
9.843750000000000000e+00,-1.296093750000000000e+02,9.326379262183401853e-01
1.148437500000000000e+01,-1.296093750000000000e+02,9.302362124169192281e-01
1.312500000000000000e+01,-1.296093750000000000e+02,9.275033053774001113e-01
1.476562500000000000e+01,-1.296093750000000000e+02,9.244549405542293874e-01
1.640625000000000000e+01,-1.296093750000000000e+02,9.211085147624400449e-01
1.804687500000000000e+01,-1.296093750000000000e+02,9.174829360776683984e-01
1.968750000000000000e+01,-1.296093750000000000e+02,9.135984635964258249e-01
2.132812500000000000e+01,-1.296093750000000000e+02,9.094765391842845048e-01
2.296875000000000000e+01,-1.296093750000000000e+02,9.051396133854482384e-01
2.460937500000000000e+01,-1.296093750000000000e+02,9.006109676732161340e-01
2.625000000000000000e+01,-1.296093750000000000e+02,8.959145351885269282e-01
2.789062500000000000e+01,-1.296093750000000000e+02,8.910747220455321749e-01
2.953125000000000000e+01,-1.296093750000000000e+02,8.861162311822594617e-01
3.117187500000000000e+01,-1.296093750000000000e+02,8.810638906046670549e-01
3.281250000000000000e+01,-1.296093750000000000e+02,8.759424877180308489e-01
3.445312500000000000e+01,-1.296093750000000000e+02,8.707766112653196888e-01
3.609375000000000000e+01,-1.296093750000000000e+02,8.655905022027734486e-01
3.773437500000000000e+01,-1.296093750000000000e+02,8.604079146430838598e-01
3.937500000000000000e+01,-1.296093750000000000e+02,8.552519877911761714e-01
4.101562500000000000e+01,-1.296093750000000000e+02,8.501451295909752126e-01
4.265625000000000000e+01,-1.296093750000000000e+02,8.451089125980143502e-01
4.429687500000000000e+01,-1.296093750000000000e+02,8.401639823958300113e-01
4.593750000000000000e+01,-1.296093750000000000e+02,8.353299786872900867e-01
4.757812500000000000e+01,-1.296093750000000000e+02,8.306254690178229705e-01
4.921875000000000000e+01,-1.296093750000000000e+02,8.260678949283568606e-01
5.085937500000000000e+01,-1.296093750000000000e+02,8.216735301931374913e-01
5.250000000000000000e+01,-1.296093750000000000e+02,8.174574506726991485e-01
5.414062500000000000e+01,-1.296093750000000000e+02,8.134335152057257101e-01
5.578125000000000000e+01,-1.296093750000000000e+02,8.096143568754554654e-01
5.742187500000000000e+01,-1.296093750000000000e+02,8.060113839164931848e-01
5.906250000000000000e+01,-1.296093750000000000e+02,8.026347894757255297e-01
6.070312500000000000e+01,-1.296093750000000000e+02,7.994935694055906872e-01
6.234375000000000000e+01,-1.296093750000000000e+02,7.965955472480533706e-01
6.398437500000000000e+01,-1.296093750000000000e+02,7.939474055619868409e-01
6.562500000000000000e+01,-1.296093750000000000e+02,7.915547227537070851e-01
6.726562500000000000e+01,-1.296093750000000000e+02,7.894220145886385875e-01
6.890625000000000000e+01,-1.296093750000000000e+02,7.875527795899222028e-01
7.054687500000000000e+01,-1.296093750000000000e+02,7.859495475655884356e-01
7.218750000000000000e+01,-1.296093750000000000e+02,7.846139305482049409e-01
7.382812500000000000e+01,-1.296093750000000000e+02,7.835466754781841292e-01
7.546875000000000000e+01,-1.296093750000000000e+02,7.827477180128310508e-01
7.710937500000000000e+01,-1.296093750000000000e+02,7.822162368964931112e-01
7.875000000000000000e+01,-1.296093750000000000e+02,7.819507083816303883e-01
8.039062500000000000e+01,-1.296093750000000000e+02,7.819489602453628674e-01
8.203125000000000000e+01,-1.296093750000000000e+02,7.822082250000954584e-01
8.367187500000000000e+01,-1.296093750000000000e+02,7.827251919494756516e-01
8.531250000000000000e+01,-1.296093750000000000e+02,7.834960577916135760e-01
8.695312500000000000e+01,-1.296093750000000000e+02,7.845165755196414903e-01
8.859375000000000000e+01,-1.296093750000000000e+02,7.857821014149826144e-01
9.023437500000000000e+01,-1.296093750000000000e+02,7.872876399708279571e-01
9.187500000000000000e+01,-1.296093750000000000e+02,7.890278866221352994e-01
9.351562500000000000e+01,-1.296093750000000000e+02,7.909972681938255423e-01
9.515625000000000000e+01,-1.296093750000000000e+02,7.931899810107810866e-01
9.679687500000000000e+01,-1.296093750000000000e+02,7.956000266417438960e-01
9.843750000000000000e+01,-1.296093750000000000e+02,7.982212452743449038e-01
1.000781250000000000e+02,-1.296093750000000000e+02,8.010473467404612968e-01
1.017187500000000000e+02,-1.296093750000000000e+02,8.040719392299491286e-01
1.033593750000000000e+02,-1.296093750000000000e+02,8.072885557468133522e-01
