yz_axis1_nm,yz_axis2_nm,|H/H0|^2
-1.312500000000000000e+02,-1.312500000000000000e+02,1.382663517490230864e+00
-1.301562500000000000e+02,-1.312500000000000000e+02,1.389899951422296276e+00
-1.290625000000000000e+02,-1.312500000000000000e+02,1.397262562997106272e+00
-1.279687500000000000e+02,-1.312500000000000000e+02,1.404752602096723368e+00
-1.268750000000000000e+02,-1.312500000000000000e+02,1.412371288024423022e+00
-1.257812500000000000e+02,-1.312500000000000000e+02,1.420119806850561606e+00
-1.246875000000000000e+02,-1.312500000000000000e+02,1.427999308656106914e+00
-1.235937500000000000e+02,-1.312500000000000000e+02,1.436010904672651023e+00
-1.225000000000000000e+02,-1.312500000000000000e+02,1.444155664317949173e+00
-1.214062500000000000e+02,-1.312500000000000000e+02,1.452434612126158875e+00
-1.203125000000000000e+02,-1.312500000000000000e+02,1.460848724572263890e+00
-1.192187500000000000e+02,-1.312500000000000000e+02,1.469398926790346005e+00
-1.181250000000000000e+02,-1.312500000000000000e+02,1.478086089185643326e+00
-1.170312500000000000e+02,-1.312500000000000000e+02,1.486911023940628906e+00
-1.159375000000000000e+02,-1.312500000000000000e+02,1.495874481415648383e+00
-1.148437500000000000e+02,-1.312500000000000000e+02,1.504977146444959946e+00
-1.137500000000000000e+02,-1.312500000000000000e+02,1.514219634529400338e+00
-1.126562500000000000e+02,-1.312500000000000000e+02,1.523602487927242954e+00
-1.115625000000000000e+02,-1.312500000000000000e+02,1.533126171645254665e+00
-1.104687500000000000e+02,-1.312500000000000000e+02,1.542791069332319243e+00
-1.093750000000000000e+02,-1.312500000000000000e+02,1.552597479078508647e+00
-1.082812500000000000e+02,-1.312500000000000000e+02,1.562545609122887535e+00
-1.071875000000000000e+02,-1.312500000000000000e+02,1.572635573473908366e+00
-1.060937500000000000e+02,-1.312500000000000000e+02,1.582867387446668328e+00
-1.050000000000000000e+02,-1.312500000000000000e+02,1.593240963121975051e+00
-1.039062500000000000e+02,-1.312500000000000000e+02,1.603756104732601662e+00
-1.028125000000000000e+02,-1.312500000000000000e+02,1.614412503982804781e+00
-1.017187500000000000e+02,-1.312500000000000000e+02,1.625209735307727721e+00
-1.006250000000000000e+02,-1.312500000000000000e+02,1.636147251079977494e+00
-9.953125000000000000e+01,-1.312500000000000000e+02,1.647224376771297516e+00
-9.843750000000000000e+01,-1.312500000000000000e+02,1.658440306077945126e+00
-9.734375000000000000e+01,-1.312500000000000000e+02,1.669794096019044938e+00
-9.625000000000000000e+01,-1.312500000000000000e+02,1.681284662017928699e+00
-9.515625000000000000e+01,-1.312500000000000000e+02,1.692910772977143097e+00
-9.406250000000000000e+01,-1.312500000000000000e+02,1.704671046358567699e+00
-9.296875000000000000e+01,-1.312500000000000000e+02,1.716563943280791094e+00
-9.187500000000000000e+01,-1.312500000000000000e+02,1.728587763646645126e+00
-9.078125000000000000e+01,-1.312500000000000000e+02,1.740740641314511450e+00
-8.968750000000000000e+01,-1.312500000000000000e+02,1.753020539327782235e+00
-8.859375000000000000e+01,-1.312500000000000000e+02,1.765425245217524974e+00
-8.750000000000000000e+01,-1.312500000000000000e+02,1.777952366394194295e+00
-8.640625000000000000e+01,-1.312500000000000000e+02,1.790599325644833151e+00
-8.531250000000000000e+01,-1.312500000000000000e+02,1.803363356752999858e+00
-8.421875000000000000e+01,-1.312500000000000000e+02,1.816241500259174968e+00
-8.312500000000000000e+01,-1.312500000000000000e+02,1.829230599380157418e+00
-8.203125000000000000e+01,-1.312500000000000000e+02,1.842327296106435197e+00
-8.093750000000000000e+01,-1.312500000000000000e+02,1.855528027497124643e+00
-7.984375000000000000e+01,-1.312500000000000000e+02,1.868829022192532108e+00
-7.875000000000000000e+01,-1.312500000000000000e+02,1.882226297164841577e+00
-7.765625000000000000e+01,-1.312500000000000000e+02,1.895715654727827548e+00
-7.656250000000000000e+01,-1.312500000000000000e+02,1.909292679826745776e+00
-7.546875000000000000e+01,-1.312500000000000000e+02,1.922952737629894493e+00
-7.437500000000000000e+01,-1.312500000000000000e+02,1.936690971443384646e+00
-7.328125000000000000e+01,-1.312500000000000000e+02,1.950502300970808678e+00
-7.218750000000000000e+01,-1.312500000000000000e+02,1.964381420939467660e+00
-7.109375000000000000e+01,-1.312500000000000000e+02,1.978322800114669988e+00
-7.000000000000000000e+01,-1.312500000000000000e+02,1.992320680723430160e+00
-6.890625000000000000e+01,-1.312500000000000000e+02,2.006369078308556819e+00
-6.781250000000000000e+01,-1.312500000000000000e+02,2.020461782033686315e+00
-6.671875000000000000e+01,-1.312500000000000000e+02,2.034592355459242441e+00
-6.562500000000000000e+01,-1.312500000000000000e+02,2.048754137808651787e+00
-6.453125000000000000e+01,-1.312500000000000000e+02,2.062940245743323686e+00
-6.343750000000000000e+01,-1.312500000000000000e+02,2.077143575663981778e+00
-6.234375000000000000e+01,-1.312500000000000000e+02,2.091356806554846237e+00
-6.125000000000000000e+01,-1.312500000000000000e+02,2.105572403386037905e+00
-6.015625000000000000e+01,-1.312500000000000000e+02,2.119782621088175834e+00
-5.906250000000000000e+01,-1.312500000000000000e+02,2.133979509111741280e+00
-5.796875000000000000e+01,-1.312500000000000000e+02,2.148154916582204255e+00
-5.687500000000000000e+01,-1.312500000000000000e+02,2.162300498060133691e+00
-5.578125000000000000e+01,-1.312500000000000000e+02,2.176407719913804328e+00
-5.468750000000000000e+01,-1.312500000000000000e+02,2.190467867309735972e+00
-5.359375000000000000e+01,-1.312500000000000000e+02,2.204472051824638790e+00
-5.250000000000000000e+01,-1.312500000000000000e+02,2.218411219680050284e+00
-5.140625000000000000e+01,-1.312500000000000000e+02,2.232276160598661185e+00
-5.031250000000000000e+01,-1.312500000000000000e+02,2.246057517279028470e+00
-4.921875000000000000e+01,-1.312500000000000000e+02,2.259745795482923647e+00
-4.812500000000000000e+01,-1.312500000000000000e+02,2.273331374727088683e+00
-4.703125000000000000e+01,-1.312500000000000000e+02,2.286804519568617966e+00
-4.593750000000000000e+01,-1.312500000000000000e+02,2.300155391470603217e+00
-4.484375000000000000e+01,-1.312500000000000000e+02,2.313374061232101653e+00
-4.375000000000000000e+01,-1.312500000000000000e+02,2.326450521963809415e+00
-4.265625000000000000e+01,-1.312500000000000000e+02,2.339374702588230104e+00
-4.156250000000000000e+01,-1.312500000000000000e+02,2.352136481840552573e+00
-4.046875000000000000e+01,-1.312500000000000000e+02,2.364725702743823099e+00
-3.937500000000000000e+01,-1.312500000000000000e+02,2.377132187529532814e+00
-3.828125000000000000e+01,-1.312500000000000000e+02,2.389345752972260595e+00
-3.718750000000000000e+01,-1.312500000000000000e+02,2.401356226104624181e+00
-3.609375000000000000e+01,-1.312500000000000000e+02,2.413153460276573181e+00
-3.500000000000000000e+01,-1.312500000000000000e+02,2.424727351520817642e+00
-3.390625000000000000e+01,-1.312500000000000000e+02,2.436067855184218978e+00
-3.281250000000000000e+01,-1.312500000000000000e+02,2.447165002783032506e+00
-3.171875000000000000e+01,-1.312500000000000000e+02,2.458008919038184636e+00
-3.062500000000000000e+01,-1.312500000000000000e+02,2.468589839045124190e+00
-2.953125000000000000e+01,-1.312500000000000000e+02,2.478898125531522556e+00
-2.843750000000000000e+01,-1.312500000000000000e+02,2.488924286154746923e+00
-2.734375000000000000e+01,-1.312500000000000000e+02,2.498658990790112888e+00
-2.625000000000000000e+01,-1.312500000000000000e+02,2.508093088760081635e+00
-2.515625000000000000e+01,-1.312500000000000000e+02,2.517217625953995785e+00
-2.406250000000000000e+01,-1.312500000000000000e+02,2.526023861787529690e+00
-2.296875000000000000e+01,-1.312500000000000000e+02,2.534503285950912232e+00
-2.187500000000000000e+01,-1.312500000000000000e+02,2.542647634894998454e+00
-2.078125000000000000e+01,-1.312500000000000000e+02,2.550448908004582460e+00
-1.968750000000000000e+01,-1.312500000000000000e+02,2.557899383408826832e+00
-1.859375000000000000e+01,-1.312500000000000000e+02,2.564991633379356983e+00
-1.750000000000000000e+01,-1.312500000000000000e+02,2.571718539267599191e+00
-1.640625000000000000e+01,-1.312500000000000000e+02,2.578073305933968662e+00
-1.531250000000000000e+01,-1.312500000000000000e+02,2.584049475622907099e+00
-1.421875000000000000e+01,-1.312500000000000000e+02,2.589640941239327532e+00
-1.312500000000000000e+01,-1.312500000000000000e+02,2.594841958983661545e+00
-1.203125000000000000e+01,-1.312500000000000000e+02,2.599647160304701554e+00
-1.093750000000000000e+01,-1.312500000000000000e+02,2.604051563131435820e+00
-9.843750000000000000e+00,-1.312500000000000000e+02,2.608050582347312130e+00
-8.750000000000000000e+00,-1.312500000000000000e+02,2.611640039472745034e+00
-7.656250000000000000e+00,-1.312500000000000000e+02,2.614816171524220412e+00
-6.562500000000000000e+00,-1.312500000000000000e+02,2.617575639020924605e+00
-5.468750000000000000e+00,-1.312500000000000000e+02,2.619915533112638695e+00
