yz_axis1_nm,yz_axis2_nm,|H/H0|^2
-1.312500000000000000e+02,-1.312500000000000000e+02,1.382663517490230864e+00
-1.296093750000000000e+02,-1.312500000000000000e+02,1.393565406200447443e+00
-1.279687500000000000e+02,-1.312500000000000000e+02,1.404752602096723368e+00
-1.263281250000000000e+02,-1.312500000000000000e+02,1.416229245568618511e+00
-1.246875000000000000e+02,-1.312500000000000000e+02,1.427999308656106914e+00
-1.230468750000000000e+02,-1.312500000000000000e+02,1.440066573919666304e+00
-1.214062500000000000e+02,-1.312500000000000000e+02,1.452434612126158875e+00
-1.197656250000000000e+02,-1.312500000000000000e+02,1.465106758736345771e+00
-1.181250000000000000e+02,-1.312500000000000000e+02,1.478086089185643326e+00
-1.164843750000000000e+02,-1.312500000000000000e+02,1.491375392956109103e+00
-1.148437500000000000e+02,-1.312500000000000000e+02,1.504977146444959946e+00
-1.132031250000000000e+02,-1.312500000000000000e+02,1.518893484642988456e+00
-1.115625000000000000e+02,-1.312500000000000000e+02,1.533126171645254665e+00
-1.099218750000000000e+02,-1.312500000000000000e+02,1.547676570026292886e+00
-1.082812500000000000e+02,-1.312500000000000000e+02,1.562545609122887535e+00
-1.066406250000000000e+02,-1.312500000000000000e+02,1.577733752279239399e+00
-1.050000000000000000e+02,-1.312500000000000000e+02,1.593240963121975051e+00
-1.033593750000000000e+02,-1.312500000000000000e+02,1.609066670946131650e+00
-1.017187500000000000e+02,-1.312500000000000000e+02,1.625209735307727721e+00
-1.000781250000000000e+02,-1.312500000000000000e+02,1.641668409933916939e+00
-9.843750000000000000e+01,-1.312500000000000000e+02,1.658440306077945126e+00
-9.679687500000000000e+01,-1.312500000000000000e+02,1.675522355463065383e+00
-9.515625000000000000e+01,-1.312500000000000000e+02,1.692910772977143097e+00
-9.351562500000000000e+01,-1.312500000000000000e+02,1.710601019297823155e+00
-9.187500000000000000e+01,-1.312500000000000000e+02,1.728587763646645126e+00
-9.023437500000000000e+01,-1.312500000000000000e+02,1.746864846889232492e+00
-8.859375000000000000e+01,-1.312500000000000000e+02,1.765425245217524974e+00
-8.695312500000000000e+01,-1.312500000000000000e+02,1.784261034668611856e+00
-8.531250000000000000e+01,-1.312500000000000000e+02,1.803363356752999858e+00
-8.367187500000000000e+01,-1.312500000000000000e+02,1.822722385482735685e+00
-8.203125000000000000e+01,-1.312500000000000000e+02,1.842327296106435197e+00
-8.039062500000000000e+01,-1.312500000000000000e+02,1.862166235873647269e+00
-7.875000000000000000e+01,-1.312500000000000000e+02,1.882226297164841577e+00
-7.710937500000000000e+01,-1.312500000000000000e+02,1.902493493335184915e+00
-7.546875000000000000e+01,-1.312500000000000000e+02,1.922952737629894493e+00
-7.382812500000000000e+01,-1.312500000000000000e+02,1.943587825536018387e+00
-7.218750000000000000e+01,-1.312500000000000000e+02,1.964381420939467660e+00
-7.054687500000000000e+01,-1.312500000000000000e+02,1.985315046456842092e+00
