intensity_mW_cm2,predicted_k_hr1
0.000000000000000000e+00,8.999999999999999667e-02
4.020100502512562873e-02,9.001510469877871401e-02
8.040201005025125747e-02,9.007594723353185007e-02
1.206030150753768793e-01,9.019534603129192307e-02
1.608040201005025149e-01,9.038186675322988639e-02
2.010050251256281506e-01,9.064226192848821861e-02
2.412060301507537585e-01,9.098221029597483578e-02
2.814070351758793942e-01,9.140666441846381773e-02
3.216080402010050299e-01,9.192004646438078908e-02
3.618090452261306655e-01,9.252637093268548107e-02
4.020100502512563012e-01,9.322932733622349422e-02
4.422110552763819369e-01,9.403233889852888328e-02
4.824120603015075170e-01,9.493860591453363862e-02
5.226130653266332082e-01,9.595113880306314902e-02
5.628140703517587884e-01,9.707278394989193870e-02
6.030150753768844796e-01,9.830624434278044388e-02
6.432160804020100597e-01,9.965409634172001097e-02
6.834170854271356399e-01,1.011188035152301989e-01
7.236180904522613311e-01,1.027027282055553575e-01
7.638190954773869112e-01,1.044081413059330110e-01
8.040201005025126024e-01,1.062372306093675167e-01
8.442211055276381826e-01,1.081921080011049169e-01
8.844221105527638738e-01,1.102748157042217070e-01
9.246231155778894539e-01,1.124873317417211804e-01
9.648241206030150341e-01,1.148315747442455875e-01
1.005025125628140614e+00,1.173094082065902488e-01
1.045226130653266416e+00,1.199226442763448586e-01
1.085427135678391997e+00,1.226730471425859781e-01
1.125628140703517577e+00,1.255623360804699606e-01
1.165829145728643157e+00,1.285921881980109927e-01
1.206030150753768959e+00,1.317642409236851608e-01
1.246231155778894539e+00,1.350800942673371641e-01
1.286432160804020119e+00,1.385413128818572259e-01
1.326633165829145700e+00,1.421494279489952106e-01
1.366834170854271280e+00,1.459059389092987324e-01
1.407035175879397082e+00,1.498123150533573478e-01
1.447236180904522662e+00,1.538699969891950126e-01
1.487437185929648242e+00,1.580803979986886432e-01
1.527638190954773822e+00,1.624449052942328331e-01
1.567839195979899625e+00,1.669648811854667625e-01
1.608040201005025205e+00,1.716416641646807406e-01
1.648241206030150785e+00,1.764765699184969450e-01
1.688442211055276365e+00,1.814708922725377649e-01
1.728643216080401945e+00,1.866259040750365694e-01
1.768844221105527748e+00,1.919428580246876070e-01
1.809045226130653328e+00,1.974229874474611179e-01
1.849246231155778908e+00,2.030675070266111104e-01
1.889447236180904488e+00,2.088776134896672965e-01
1.929648241206030068e+00,2.148544862558206536e-01
1.969849246231155870e+00,2.209992880467750165e-01
2.010050251256281229e+00,2.273131654638405053e-01
2.050251256281407031e+00,2.337972495337815593e-01
2.090452261306532833e+00,2.404526562256980859e-01
2.130653266331658191e+00,2.472804869410127893e-01
2.170854271356783993e+00,2.542818289784511965e-01
2.211055276381909795e+00,2.614577559757349512e-01
2.251256281407035154e+00,2.688093283295637237e-01
2.291457286432160956e+00,2.763375935953249485e-01
2.331658291457286314e+00,2.840435868678530262e-01
2.371859296482412116e+00,2.919283311444519358e-01
2.412060301507537918e+00,2.999928376712964750e-01
2.452261306532663276e+00,3.082381062742420297e-01
2.492462311557789079e+00,3.166651256749904997e-01
2.532663316582914437e+00,3.252748737934889611e-01
2.572864321608040239e+00,3.340683180373730243e-01
2.613065326633166041e+00,3.430464155792039005e-01
2.653266331658291399e+00,3.522101136221976736e-01
2.693467336683417201e+00,3.615603496550928719e-01
2.733668341708542560e+00,3.710980516967551379e-01
2.773869346733668362e+00,3.808241385310836558e-01
2.814070351758794164e+00,3.907395199327339252e-01
2.854271356783919522e+00,4.008450968841488216e-01
2.894472361809045324e+00,4.111417617843482475e-01
2.934673366834170682e+00,4.216303986499017054e-01
2.974874371859296485e+00,4.323118833084830248e-01
3.015075376884422287e+00,4.431870835853741752e-01
3.055276381909547645e+00,4.542568594832715467e-01
3.095477386934673447e+00,4.655220633557168863e-01
3.135678391959799249e+00,4.769835400744607545e-01
3.175879396984924607e+00,4.886421271910476039e-01
3.216080402010050410e+00,5.004986550928927080e-01
3.256281407035175768e+00,5.125539471541036285e-01
3.296482412060301570e+00,5.248088198812906890e-01
3.336683417085427372e+00,5.372640830545878377e-01
3.376884422110552730e+00,5.499205398641013876e-01
3.417085427135678533e+00,5.627789870419858120e-01
3.457286432160803891e+00,5.758402149903368850e-01
3.497487437185929693e+00,5.891050079050839106e-01
3.537688442211055495e+00,6.025741438960489083e-01
3.577889447236180853e+00,6.162483951033347340e-01
3.618090452261306655e+00,6.301285278101964593e-01
3.658291457286432014e+00,6.442153025525361176e-01
3.698492462311557816e+00,6.585094742251638156e-01
3.738693467336683618e+00,6.730117921849496643e-01
3.778894472361808976e+00,6.877230003509932077e-01
3.819095477386934778e+00,7.026438373019289196e-01
3.859296482412060136e+00,7.177750363704733516e-01
3.899497487437185939e+00,7.331173257353286177e-01
3.939698492462311741e+00,7.486714285105346978e-01
3.979899497487437099e+00,7.644380628323721449e-01
4.020100502512562457e+00,7.804179419439053467e-01
4.060301507537688259e+00,7.966117742772523824e-01
4.100502512562814061e+00,8.130202635336646333e-01
4.140703517587939864e+00,8.296441087614984111e-01
4.180904522613065666e+00,8.464840044321492174e-01
4.221105527638190580e+00,8.635406405140267916e-01
4.261306532663316382e+00,8.808147025446353418e-01
4.301507537688442184e+00,8.983068717008252380e-01
4.341708542713567986e+00,9.160178248672832257e-01
4.381909547738693789e+00,9.339482347033172260e-01
4.422110552763819591e+00,9.520987697079951184e-01
4.462311557788944505e+00,9.704700942836927968e-01
4.502512562814070307e+00,9.890628687981056766e-01
4.542713567839196109e+00,1.007877749644769505e+00
4.582914572864321912e+00,1.026915389302146098e+00
