wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.000000000000000000e+02,4.020285482002910148e-14,3.572948126497295854e-14
3.034068136272545075e+02,3.978216241368405212e-14,3.599940455486095415e-14
3.068136272545090151e+02,3.937160051833851629e-14,3.624374847621619315e-14
3.102204408817635226e+02,3.897368674866978866e-14,3.646255782476612739e-14
3.136272545090180301e+02,3.859085799019823883e-14,3.665636562694092805e-14
3.170340681362725377e+02,3.822542487198687253e-14,3.682614882292771060e-14
3.204408817635270452e+02,3.787953525071331828e-14,3.697327467632864423e-14
3.238476953907815528e+02,3.755514671971914922e-14,3.709944071073898821e-14
3.272545090180360603e+02,3.725400785610111499e-14,3.720661097046814433e-14
3.306613226452905678e+02,3.697764764956539729e-14,3.729695125534146644e-14
3.340681362725450754e+02,3.672737233568395407e-14,3.737276570765525773e-14
3.374749498997995829e+02,3.650426869479108881e-14,3.743643676271250804e-14
3.408817635270540904e+02,3.630921278104706936e-14,3.749037004804259729e-14
3.442885771543085980e+02,3.614288301300935403e-14,3.753694536610850137e-14
3.476953907815631055e+02,3.600577658112276613e-14,3.757847445346157629e-14
3.511022044088176131e+02,3.589408799087998679e-14,3.762102262428511494e-14
3.545090180360721206e+02,3.580538116712911845e-14,3.767065270452699307e-14
3.579158316633266281e+02,3.574945557205682635e-14,3.772116926377479103e-14
3.613226452905811357e+02,3.572642944745673168e-14,3.777439983444338001e-14
3.647294589178357000e+02,3.573635576303215485e-14,3.783198856467467920e-14
3.681362725450901507e+02,3.577924516766049911e-14,3.789538906430461993e-14
3.715430861723447151e+02,3.585508826654095274e-14,3.796586057203721780e-14
3.749498997995991658e+02,3.596387725760102809e-14,3.804446650522740429e-14
3.783567134268537302e+02,3.610562707205654487e-14,3.813207448103733589e-14
3.817635270541081809e+02,3.628039626113754285e-14,3.822935694516071285e-14
3.851703406813627453e+02,3.648830795674443361e-14,3.833679160198710354e-14
3.885771543086171960e+02,3.672957131228047218e-14,3.845466090424942311e-14
