wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.000000000000000000e+02,5.278299194563062830e-14,4.383673547339996691e-14
3.034068136272545075e+02,5.241727262399940586e-14,4.422571939937455836e-14
3.068136272545090151e+02,5.205926069673017635e-14,4.461538407911220457e-14
3.102204408817635226e+02,5.170816265402615909e-14,4.500303214110807577e-14
3.136272545090180301e+02,5.136353787300433928e-14,4.538595211925774445e-14
3.170340681362725377e+02,5.102526193660973695e-14,4.576151059621235522e-14
3.204408817635270452e+02,5.069348586989050142e-14,4.612723031286701385e-14
3.238476953907815528e+02,5.036859319827640686e-14,4.648085457123402173e-14
3.272545090180360603e+02,5.005115623422827597e-14,4.682039841020275500e-14
3.306613226452905678e+02,4.974189262977121110e-14,4.714418709696394132e-14
3.340681362725450754e+02,4.944162296791203505e-14,4.745088260030031735e-14
3.374749498997995829e+02,4.915122998003546734e-14,4.773949874854227716e-14
3.408817635270540904e+02,4.887161984563192054e-14,4.800940590445788297e-14
3.442885771543085980e+02,4.860368593558083738e-14,4.826032609210972066e-14
3.476953907815631055e+02,4.834827528556632093e-14,4.849231962960853323e-14
3.511022044088176131e+02,4.809958233787788931e-14,4.871150211190678175e-14
3.545090180360721206e+02,4.785295630302762956e-14,4.892460814791924365e-14
3.579158316633266281e+02,4.762364867939897884e-14,4.912056102516812421e-14
3.613226452905811357e+02,4.741203671754161536e-14,4.930062975057496346e-14
3.647294589178357000e+02,4.721829205729056687e-14,4.946626772402183324e-14
3.681362725450901507e+02,4.704236521378856062e-14,4.961907298956602448e-14
3.715430861723447151e+02,4.688397308520261568e-14,4.976074902809087459e-14
3.749498997995991658e+02,4.674258923122597886e-14,4.989306716813414607e-14
3.783567134268537302e+02,4.661743664889565179e-14,5.001783152713010687e-14
3.817635270541081809e+02,4.650748276415199665e-14,5.013684721774975010e-14
3.851703406813627453e+02,4.641143636391636122e-14,5.025189237307750943e-14
3.885771543086171960e+02,4.632774621361924036e-14,5.036469436829415294e-14
3.919839679358717603e+02,4.625460113800508442e-14,5.047691045154200451e-14
3.953907815631262679e+02,4.618993138742787611e-14,5.059011284627932715e-14
3.987975951903807754e+02,4.613141116668640999e-14,5.070577825225892575e-14
4.022044088176352830e+02,4.609979251654849368e-14,5.082273565029807856e-14
4.056112224448897905e+02,4.609559837252188353e-14,5.094196107420999029e-14
4.090180360721442980e+02,4.610917228876565451e-14,5.106606718266945643e-14
4.124248496993988056e+02,4.614108074306073989e-14,5.119663684184285340e-14
4.158316633266533131e+02,4.619201992508050952e-14,5.133526063646372604e-14
4.192384769539078206e+02,4.626285460782747579e-14,5.148353473003153367e-14
4.226452905811623282e+02,4.635466248701790787e-14,5.164305650783566396e-14
4.260521042084168357e+02,4.646878519278448570e-14,5.181541693090340698e-14
4.294589178356713433e+02,4.660688751665051076e-14,5.200218836383365233e-14
4.328657314629258508e+02,4.677102681865718877e-14,5.220490640912529798e-14
4.362725450901803583e+02,4.696373510866595483e-14,5.242504394691810472e-14
4.396793587174348659e+02,4.718811696295430011e-14,5.266397508604106880e-14
4.430861723446893734e+02,4.744796728197160544e-14,5.292292600239107548e-14
4.464929859719438809e+02,4.774791396892377298e-14,5.320290854342562535e-14
4.498997995991983885e+02,4.809359197832693353e-14,5.350463087404556912e-14
4.533066132264528960e+02,4.884564016153191485e-14,5.372401856604611980e-14
4.567134268537074036e+02,4.971615302869870306e-14,5.392461036136271813e-14
4.601202404809619111e+02,5.070335388694728649e-14,5.409955296565593974e-14
4.635270541082164186e+02,5.181560783336876805e-14,5.423804324098645151e-14
4.669338677354709262e+02,5.306132884351403192e-14,5.432817069411567676e-14
4.703406813627254337e+02,5.444888148519753027e-14,5.435715973685930963e-14
4.737474949899799412e+02,5.598645845741958557e-14,5.431170150767273638e-14
